ASEAN,   ***   ,ASEAN  Association of Southeast Asian Nations,,,,
chleb,   ***   ,bread,,,,
chlewnia,   ***   ,piggery,,,,
chlor,   ***   ,chlorine,,,,
chlorek,   ***   ,chloride,,,,
chlorofenol,   ***   ,,,,,
chlorofil,   ***   ,chlorophyll,,,,
chlorofluorowęglowodory,   ***   ,CFC  chlorofluorocarbon,,,,
chlorowce,   ***   ,halogenated compound,,,,
chloroza,   ***   ,chlorosis,,,,
chmura,   ***   ,cloud,,,,
choinka,   ***   ,Christmas tree,,,,
cholesterol,   ***   ,cholesterol,,,,
choroba,   ***   ,disease  illness  affliction,,,,
chorologia,   ***   ,,,,,
chorwacki,   ***   ,Croatian  Croation,,,,
chrom,   ***   ,chromium,,,,
chromatografia,   ***   ,chromatography,,,,
chromosom,   ***   ,chromosome,,,,
chrząszcze,   ***   ,beetle,,,,
chusteczka,   ***   ,handkerchief,,,,
chwast,   ***   ,weed,,,,
chwilę,   ***   ,awhile,,,,
chętny,   ***   ,avid,,,,
chłodnia,   ***   ,refrigerator,,,,
chłodzenie,   ***   ,cooling,,,,
chłodzenie,   ***   ,refrigeration,,,,
chłopiec,   ***   ,boy,,,,
ciecz,   ***   ,liquid,,,,
ciemny,   ***   ,black  dark,,,,
ciepło,   ***   ,heat,,,,
ciepłownia,   ***   ,coal,fired power plant,,,
ciepłownia,   ***   ,heating plant,,,,
ciężar,   ***   ,weight,,,,
ciężki,   ***   ,heavy,,,,
ciśnienie,   ***   ,pressure,,,,
cudzoziemski,   ***   ,foreign,,,,
cukier,   ***   ,sugar,,,,
cygaro,   ***   ,cigar,,,,
cyjanek,   ***   ,cyanide,,,,
cyjanian,   ***   ,cyanate,,,,
cykl życia,   ***   ,life cycle,,,,
cyklon,   ***   ,cyclone,,,,
cyna,   ***   ,tin,,,,
cynk,   ***   ,zinc,,,,
cyrkon,   ***   ,zirconium,,,,
cyrylica,   ***   ,Cyrillic alphabet,,,,
cytologia,   ***   ,cytology,,,,
cytotoksyczność,   ***   ,cytotoxicity,,,,
cytryna,   ***   ,lemon,,,,
czapla,   ***   ,heron,,,,
czarownica,   ***   ,witch,,,,
czas,   ***   ,time,,,,
czasownik,   ***   ,verb,,,,
czaszka,   ***   ,skull,,,,
czekolada,   ***   ,chocolate,,,,
czerwiec,   ***   ,June,,,,
czeski,   ***   ,Czech  Czech,,,,
cześć,   ***   ,nara  trzymaj się  do widzeniaadieu  bye  cheerio  farewell  good day  goobye,,,,
cztery,   ***   ,four,,,,
czuwaski,   ***   ,Chuvash  Chuvash  Chuwash  Chovash  Chavash  Chttash,,,,
czwartek,   ***   ,Thursday,,,,
czworokąt,   ***   ,quadrilateral,,,,
czwórka,   ***   ,four,,,,
czystość,   ***   ,cleanliness,,,,
czyszczenie,   ***   ,cleaning up,,,,
czytać,   ***   ,read,,,,
cząstka,   ***   ,particle,,,,
część mowy,   ***   ,part of speech  lexical category,,,,
członowce,   ***   ,Articulata,,,,
człowiek,   ***   ,man,,,,
córka,   ***   ,daughter,,,,
cło,   ***   ,customs,,,,
dach,   ***   ,roof  roof  roof,,,,
dar,   ***   ,donation,,,,
darmsztadt,   ***   ,darmstadtium,,,,
datowanie,   ***   ,dating,,,,
dawka,   ***   ,dose,,,,
dawkowanie,   ***   ,dosage,,,,
decentralizacja,   ***   ,decentralisation,,,,
decybel,   ***   ,decibel,,,,
decyzja,   ***   ,decision,,,,
definicja,   ***   ,Definition  definition,,,,
deflacja,   ***   ,deflation,,,,
defoliacja,   ***   ,defoliation,,,,
degradacja,   ***   ,degradation,,,,
dekantacja,   ***   ,racking,,,,
deklaracja,   ***   ,declaration  statement,,,,
delfin,   ***   ,dolphin,,,,
delta,   ***   ,delta,,,,
demografia,   ***   ,demography,,,,
demokracja,   ***   ,democracy,,,,
dendrochronologia,   ***   ,dendrochronology  tree,ring dating,,,
dendrometria,   ***   ,,,,,
denga,   ***   ,dengue fever,,,,
denitryfikacja,   ***   ,denitrification,,,,
dentysta,   ***   ,dentist,,,,
dentystyka,   ***   ,dentistry,,,,
deregulacja,   ***   ,deregulation,,,,
dermatologia,   ***   ,dermatology,,,,
desorpcja,   ***   ,desorption,,,,
despotyczny,   ***   ,authoritarian,,,,
destylacja,   ***   ,distillation,,,,
deszcz,   ***   ,rain,,,,
determinizm środowiskowy,   ***   ,environmentalism,,,,
deuter,   ***   ,deuterium,,,,
dialekt,   ***   ,dialect,,,,
dializa,   ***   ,dialysis,,,,
diecezja,   ***   ,diocese  diocese,,,,
digitalizacja,   ***   ,digitising,,,,
dioksyna,   ***   ,dioxin,,,,
dobra,   ***   ,goods,,,,
dobrobyt,   ***   ,prosperity,,,,
doceniać,   ***   ,appreciate,,,,
dochód,   ***   ,income,,,,
dochód,   ***   ,yield,,,,
dodatek,   ***   ,attachment,,,,
dodatki,   ***   ,additive,,,,
dodawanie,   ***   ,addition,,,,
dodać,   ***   ,add,,,,
doktryna,   ***   ,doctrine,,,,
dokument,   ***   ,document,,,,
dokumentacja,   ***   ,documentation,,,,
dolesienie,   ***   ,local afforestation,,,,
dolina,   ***   ,valley,,,,
dopalanie,   ***   ,afterburning  afterburning  afterburner,,,,
dopływ,   ***   ,inflow,,,,
dorzecze,   ***   ,drainage system,,,,
dostęp,   ***   ,approach,,,,
dostępny,   ***   ,available,,,,
dotacja,   ***   ,subsidy,,,,
doświadczenie,   ***   ,test,,,,
drapieżnik,   ***   ,predator,,,,
drażniący,   ***   ,acrid,,,,
drenowanie,   ***   ,draining,,,,
drewno,   ***   ,wood,,,,
drobnoustrój,   ***   ,micro,organism,,,
droga,   ***   ,road,,,,
droga,   ***   ,route,,,,
dromader,   ***   ,dromedary,,,,
drożdże,   ***   ,yeast,,,,
drwal,   ***   ,lumberjack,,,,
drzewo,   ***   ,tree,,,,
drzwi,   ***   ,door,,,,
drób,   ***   ,poultry,,,,
dubn,   ***   ,dubnium,,,,
duński,   ***   ,Danish,,,,
duży,   ***   ,big  large,,,,
dwa,   ***   ,two,,,,
dwójka,   ***   ,two,,,,
dydaktyka,   ***   ,didactics,,,,
dym,   ***   ,smoke,,,,
dyrektywa,   ***   ,directive,,,,
dyskryminacja,   ***   ,discrimination,,,,
dysleksja,   ***   ,dyslexia,,,,
dysproz,   ***   ,dysprosium,,,,
dystrybucja,   ***   ,distribution,,,,
dystrybucja,   ***   ,distributive trade,,,,
dywan,   ***   ,carpet,,,,
dziadek,   ***   ,grandfather,,,,
działalność człowieka,   ***   ,anthropic activity,,,,
działalność gospodarcza,   ***   ,business activity,,,,
działalność gospodarcza,   ***   ,economic activity,,,,
działalność instytucjonalna,   ***   ,institutional activity,,,,
działalność produkcyjna,   ***   ,manufacturing activity,,,,
działalność ubezpieczeniowa,   ***   ,insurance business,,,,
dziecko,   ***   ,child,,,,
dzielenie,   ***   ,division,,,,
dziennik,   ***   ,diary,,,,
dziennikarstwo,   ***   ,journalism,,,,
dziennikarz,   ***   ,journalist,,,,
dzierżawa,   ***   ,estate rental,,,,
dzierżawa,   ***   ,lease,,,,
dziesięć,   ***   ,ten,,,,
dziwić,   ***   ,surprise,,,,
dziękuję,   ***   ,cheers  thank you  thanks,,,,
dąb,   ***   ,oak,,,,
dłoń,   ***   ,palm,,,,
dług,   ***   ,debt,,,,
długość geograficzna,   ***   ,longitude,,,,
dźwięk,   ***   ,sound,,,,
dżdżownica,   ***   ,earthworm,,,,
dżudo,   ***   ,judojudo,,,,
edafologia,   ***   ,edaphology,,,,
edukacja,   ***   ,education,,,,
efektywność gospodarczo,   ***   ,ekologiczna,economical,ecological efficiency,,
efemeryczny,   ***   ,ephemeral,,,,
einstein,   ***   ,einsteinium,,,,
ejakulacja,   ***   ,ejaculation,,,,
eko,   ***   ,museum,ecomuseum,,,
ekoetykieta,   ***   ,ecolabel,,,,
ekofizjologia,   ***   ,ecophysiology,,,,
ekoinformatyka,   ***   ,environmental informatics,,,,
ekologia,   ***   ,ecology,,,,
ekomarketing,   ***   ,ecomarketing,,,,
ekonomia,   ***   ,economic science  economics,,,,
ekonomika środowiska,   ***   ,environmental economics,,,,
ekopediatria,   ***   ,eco,paediatrics,,,
ekorozwój,   ***   ,ecodevelopment,,,,
ekosystem,   ***   ,ecosystem,,,,
ekotoksyczność,   ***   ,ecotoxicity,,,,
ekotoksykologia,   ***   ,ecotoxicology,,,,
ekoturystyka,   ***   ,ecotourism,,,,
ekotyp,   ***   ,ecotype,,,,
eksperyment,   ***   ,experiment,,,,
eksponat,   ***   ,exhibit,,,,
eksport,   ***   ,export,,,,
eksternalizacja,   ***   ,externality,,,,
elastyczność,   ***   ,elasticity,,,,
elektrociepłownia,   ***   ,heat and power station,,,,
elektrokinetyka,   ***   ,electrokinetics,,,,
elektroliza,   ***   ,electrolysis,,,,
elektronika,   ***   ,electronics,,,,
elektronowy,   ***   ,electron,,,,
elektrownia,   ***   ,electric power plant,,,,
elektrownia,   ***   ,power station,,,,
emancypacja,   ***   ,emancipation,,,,
embriogeneza,   ***   ,embryogenesis,,,,
emisja,   ***   ,emission,,,,
emulgacja,   ***   ,emulsification,,,,
emulsja,   ***   ,emulsion,,,,
encyklopedia,   ***   ,encyclopaedia,,,,
endokrynologia,   ***   ,endocrinology,,,,
energetyka,   ***   ,energy economics,,,,
energia,   ***   ,energy,,,,
enkapsulacja,   ***   ,encapsulation,,,,
enterowirus,   ***   ,enterovirus,,,,
enzymy,   ***   ,enzyme,,,,
epicentrum,   ***   ,epicentre,,,,
epidemia,   ***   ,epidemic,,,,
epidemiologia,   ***   ,epidemiology,,,,
epigramat,   ***   ,epigram,,,,
erb,   ***   ,erbium,,,,
ergonomia,   ***   ,ergonomics,,,,
erozja,   ***   ,erosion,,,,
esperanto,   ***   ,Esperanto  Esperanto,,,,
estetyka,   ***   ,aesthetics,,,,
estoński,   ***   ,Estonian,,,,
estuarium,   ***   ,estuary,,,,
etanol,   ***   ,ethanol,,,,
etnografia,   ***   ,ethnography,,,,
etnologia,   ***   ,ethnology,,,,
etologia,   ***   ,ethology,,,,
etyka,   ***   ,ethics,,,,
europ,   ***   ,europium,,,,
eutrofizacja,   ***   ,eutrophication,,,,
ewapotranspiracja,   ***   ,evapotranspiration,,,,
ewolucja,   ***   ,evolution,,,,
fagot,   ***   ,bassoon,,,,
farba,   ***   ,paint,,,,
farerski,   ***   ,Faroese  Faeroese,,,,
farmakokinetyka,   ***   ,pharmacokinetics,,,,
farmakologia,   ***   ,pharmacology,,,,
fartuch,   ***   ,apron,,,,
fasola,   ***   ,bean  edible bean,,,,
faszyzm,   ***   ,fascism,,,,
fauna,   ***   ,fauna,,,,
fenole,   ***   ,phenol,,,,
ferm,   ***   ,fermium,,,,
fermentacja,   ***   ,fermentation,,,,
fermentacja ścieków,   ***   ,digestion,,,,
feromon,   ***   ,pheromone,,,,
film,   ***   ,film,,,,
filologia,   ***   ,philology,,,,
filozofia,   ***   ,philosophy,,,,
filtr,   ***   ,filter,,,,
filtracja,   ***   ,filtration,,,,
finanse,   ***   ,finances,,,,
finansowanie,   ***   ,financing,,,,
firma,   ***   ,firm  corporation  enterprise  company  venture,,,,
firma,   ***   ,business organisation,,,,
fitomasa,   ***   ,phytomass,,,,
fitopatologia,   ***   ,phytopathology,,,,
fitoplankton,   ***   ,phytoplankton,,,,
fitosocjologia,   ***   ,phytosociology,,,,
fizjologia,   ***   ,physiology,,,,
fizyka,   ***   ,physics,,,,
fiński,   ***   ,Finnish,,,,
flamandzki,   ***   ,Flemish,,,,
flet,   ***   ,flute,,,,
flokulacja,   ***   ,flocculation,,,,
flokulant,   ***   ,flocculant,,,,
flora,   ***   ,flora (biology)  flora,,,,
flora,   ***   ,flora (document)  flora,,,,
flotacja,   ***   ,flotation,,,,
fluidyzacja,   ***   ,fluidisation,,,,
fluor,   ***   ,fluorine,,,,
fluorkowanie,   ***   ,fluoridation,,,,
fobia,   ***   ,phobia,,,,
folklor,   ***   ,folklore,,,,
fonetyka,   ***   ,phonetics,,,,
fontanna,   ***   ,fountain,,,,
fortepian,   ***   ,piano  pianoforte,,,,
fosfor,   ***   ,phosphorus,,,,
fosforan,   ***   ,phosphate,,,,
fotodegradacja,   ***   ,photodegradation,,,,
fotografia,   ***   ,photo  photograph,,,,
fotografia,   ***   ,photography,,,,
fotogrametria,   ***   ,photogrammetry,,,,
fotomozaika,   ***   ,mosaic,,,,
foton,   ***   ,photon,,,,
fotosynteza,   ***   ,photosynthesis,,,,
francuski,   ***   ,French  French,,,,
frans,   ***   ,francium,,,,
frazes,   ***   ,platitude  cliche  cliché,,,,
freon,   ***   ,freon,,,,
fryzjer,   ***   ,hairdresser  barber,,,,
fryzyjski,   ***   ,Frisian  Western Frisian,,,,
fundusz,   ***   ,financial fund,,,,
furan,   ***   ,furan,,,,
futro,   ***   ,fur,,,,
gadolin,   ***   ,gadolinium,,,,
gady,   ***   ,reptile  reptile  reptile,,,,
gal,   ***   ,gallium,,,,
galisyjski,   ***   ,Galician  Galician,,,,
galwanizacja,   ***   ,galvanisation,,,,
garaż,   ***   ,garage,,,,
gatunek,   ***   ,species,,,,
gaz,   ***   ,gas,,,,
gazeta,   ***   ,newspaper,,,,
gazociąg,   ***   ,gas pipeline,,,,
gazohol,   ***   ,gasohol,,,,
gazownia,   ***   ,gas company,,,,
gazownia,   ***   ,gaswork,,,,
gazyfikacja,   ***   ,gasification,,,,
gałąź,   ***   ,branch,,,,
gejzer,   ***   ,geyser,,,,
gen,   ***   ,gene,,,,
genealogia,   ***   ,genealogy,,,,
genetyka,   ***   ,genetics,,,,
genom,   ***   ,genome,,,,
genotoksyczność,   ***   ,genotoxicity,,,,
genotyp,   ***   ,genotype,,,,
geodezja,   ***   ,geodesy,,,,
geofizyka,   ***   ,geophysics,,,,
geografia,   ***   ,geography,,,,
geologia,   ***   ,geology,,,,
geometria,   ***   ,geometry,,,,
geomorfologia,   ***   ,geomorphology,,,,
geosfera,   ***   ,geophysical environment,,,,
geotechnika,   ***   ,geotechnics,,,,
geotechnologia,   ***   ,geotechnology,,,,
german,   ***   ,germanium,,,,
gilotyna,   ***   ,guillotine  guillotine  guillotine,,,,
gips,   ***   ,gypsum,,,,
gitara,   ***   ,guitar,,,,
glacjologia,   ***   ,glaciology,,,,
gleba,   ***   ,soil,,,,
gleboznawstwo,   ***   ,soil science,,,,
glikoliza,   ***   ,glycolysis,,,,
glina,   ***   ,clay,,,,
glony,   ***   ,alga,,,,
gniazdowanie,   ***   ,nesting,,,,
gnojowica,   ***   ,liquid manure,,,,
godzina,   ***   ,hour,,,,
golf,   ***   ,golf,,,,
gong,   ***   ,gong,,,,
goryl,   ***   ,gorilla,,,,
gospodarka,   ***   ,economy,,,,
gołoledź,   ***   ,glaze,,,,
gołąb,   ***   ,pigeon  dove,,,,
gra,   ***   ,game,,,,
grad,   ***   ,hail,,,,
gramatyka,   ***   ,grammer  grammar,,,,
granat,   ***   ,pomegranate,,,,
granica,   ***   ,boundary,,,,
granit,   ***   ,granite,,,,
granulometria,   ***   ,granulometry,,,,
grawiton,   ***   ,graviton,,,,
greka,   ***   ,greckiGreek  Greek,,,,
grenlandzki,   ***   ,Kalaallisut,,,,
gridding,   ***   ,gridding,,,,
groza,   ***   ,awe,,,,
gruczoł,   ***   ,gland,,,,
grudzień,   ***   ,December,,,,
gruszka,   ***   ,pear,,,,
gruziński,   ***   ,Georgian  Georgian,,,,
grypa,   ***   ,influenza  flu,,,,
gryzonie,   ***   ,rodent,,,,
grzejnik,   ***   ,heater,,,,
grzmot,   ***   ,thunder,,,,
grzyb,   ***   ,fungus,,,,
grzybnia,   ***   ,mycete,,,,
grzywna,   ***   ,fine,,,,
gudżarati,   ***   ,Gujarati  Gujarati,,,,
guma,   ***   ,rubber,,,,
gwiazda,   ***   ,star,,,,
gwiazdka,   ***   ,asterisk,,,,
gwiazdozbiór,   ***   ,constellation,,,,
góra,   ***   ,mountain,,,,
gąbki,   ***   ,poriferan,,,,
gęstość,   ***   ,density,,,,
gęstość zaludnienia,   ***   ,geographical distribution of population,,,,
gęstość zaludnienia,   ***   ,population density,,,,
gęś,   ***   ,goose,,,,
głosowanie,   ***   ,ballot,,,,
głosowanie,   ***   ,voting,,,,
głowonogi,   ***   ,cephalopod,,,,
głośność,   ***   ,loudness,,,,
głuchy,   ***   ,deaf,,,,
głód,   ***   ,hunger  hunger  hunger,,,,
głód,   ***   ,famine,,,,
hafn,   ***   ,hafnium,,,,
haiku,   ***   ,hai,kai  hokkuhaiku,,,
haloform,   ***   ,haloform,,,,
halucynacja,   ***   ,hallucination,,,,
handel,   ***   ,trade,,,,
handel żywnością,   ***   ,food commerce,,,,
harpun,   ***   ,harpoon,,,,
has,   ***   ,hassium,,,,
hałas,   ***   ,noise,,,,
hebrajski,   ***   ,Hebrew,,,,
hedonizm,   ***   ,hedonism,,,,
hegemonia,   ***   ,hegemony,,,,
hel,   ***   ,helium,,,,
hematologia,   ***   ,haematology,,,,
herbata,   ***   ,tea,,,,
herbicyd,   ***   ,herbicide,,,,
hermetyzacja (przemysł atomowy),   ***   ,containment (nuclear industry)  containment,,,,
heroina,   ***   ,heroin,,,,
hierarchia,   ***   ,hierarchy,,,,
higiena,   ***   ,hygiene,,,,
hindi,   ***   ,Hindi  Hindi,,,,
hipertekst,   ***   ,hypertext,,,,
historia,   ***   ,story,,,,
historia,   ***   ,history,,,,
historiografia,   ***   ,historiography,,,,
hiszpański,   ***   ,Castilian  Spanish  Spanish,,,,
hodowla,   ***   ,breeding,,,,
holm,   ***   ,holmium,,,,
homeostaza,   ***   ,homeostasis,,,,
homologacja,   ***   ,homologation,,,,
homonim,   ***   ,homonym,,,,
hormon,   ***   ,hormone,,,,
horyzont,   ***   ,horizon,,,,
huragan,   ***   ,hurricane,,,,
hutnictwo żelaza,   ***   ,iron industry,,,,
hydraulika,   ***   ,hydraulics,,,,
hydrobiologia,   ***   ,hydrobiology,,,,
hydroelektrownia,   ***   ,hydroelectric power plant,,,,
hydrogeologia,   ***   ,hydrogeology,,,,
hydrografia,   ***   ,hydrography,,,,
hydroliza,   ***   ,hydrolysis,,,,
hydrologia,   ***   ,hydrology,,,,
hydrometeorologia,   ***   ,hydrometeorology,,,,
hydrometria,   ***   ,hydrometry,,,,
hydrosfera,   ***   ,hydrosphere,,,,
hygiena żywności,   ***   ,food hygiene,,,,
i,   ***   ,and  as well as  in addition to  together with  too,,,,
i,   ***   ,and,,,,
ideologia,   ***   ,ideology,,,,
imisja,   ***   ,immission,,,,
immunologia,   ***   ,immunology,,,,
impaktor,   ***   ,impactor,,,,
import,   ***   ,import,,,,
impregnacja (tworzywo),   ***   ,impregnation,,,,
ind,   ***   ,indium,,,,
indeks,   ***   ,index,,,,
indonezyjski,   ***   ,Indonesian,,,,
indykowate,   ***   ,turkey,,,,
inflacja,   ***   ,inflation,,,,
informacja,   ***   ,info  information,,,,
informatyka,   ***   ,informatics  computer science  information science,,,,
infrastruktura,   ***   ,infrastructure,,,,
instrument,   ***   ,instrument  musical instrument,,,,
instytucjonalizacja,   ***   ,institutionalisation,,,,
interpolacja,   ***   ,interpolation,,,,
inwentaryzacja,   ***   ,inventory,,,,
inwersja,   ***   ,inversion,,,,
inwestycja,   ***   ,investment,,,,
inżynier,   ***   ,engineer,,,,
inżynieria,   ***   ,engineering,,,,
inżynieria środowiska,   ***   ,environmental engineering,,,,
irlandzki,   ***   ,Irish  Irish  Irish Gaelic  Irish,,,,
iryd,   ***   ,iridium,,,,
islam,   ***   ,Islam,,,,
islandzki,   ***   ,Icelandic,,,,
iterb,   ***   ,ytterbium,,,,
itr,   ***   ,yttrium,,,,
izolacja,   ***   ,insulation,,,,
izomer,   ***   ,isomer,,,,
izotopy,   ***   ,isotope,,,,
ja,   ***   ,I,,,,
jabłko,   ***   ,apple,,,,
jadalny,   ***   ,edible,,,,
jagoda,   ***   ,huckleberry  blueberry,,,,
jaguar,   ***   ,jaguar,,,,
jajniki,   ***   ,ovary,,,,
jajo,   ***   ,egg,,,,
jak,   ***   ,yak,,,,
jakość powietrza,   ***   ,air quality,,,,
jakość środowiska,   ***   ,environmental quality,,,,
jakość życia,   ***   ,living standard,,,,
jakość życia,   ***   ,quality of life,,,,
jakość żywności,   ***   ,food quality,,,,
jamochłon,   ***   ,coelenterate,,,,
japoński,   ***   ,Japanese  Japanese,,,,
jaskinia,   ***   ,cave,,,,
jaskra,   ***   ,glaucoma,,,,
jaskrawość subiektywna,   ***   ,luminosity,,,,
jaszczurka,   ***   ,lizard,,,,
jazz,   ***   ,jazz,,,,
jeden,   ***   ,one,,,,
jedynka,   ***   ,one,,,,
jeleń,   ***   ,deer,,,,
jesień,   ***   ,autumn,,,,
jezioro,   ***   ,lake,,,,
jezioro,   ***   ,pond,,,,
jeżowate,   ***   ,hedgehog,,,,
jeżowce,   ***   ,echinoderm,,,,
jidysz,   ***   ,Yiddish,,,,
jod,   ***   ,iodine,,,,
jon,   ***   ,ion,,,,
jonosfera,   ***   ,ionosphere,,,,
judaizm,   ***   ,Judaism,,,,
jurysdykcja,   ***   ,jurisdiction,,,,
jutro,   ***   ,tomorrow,,,,
jęczmień,   ***   ,barley,,,,
język,   ***   ,language,,,,
językoznawstwo,   ***   ,linguistics,,,,
kaczka,   ***   ,duck,,,,
kadm,   ***   ,cadmium,,,,
kaktus,   ***   ,cactus,,,,
kalafior,   ***   ,cauliflower,,,,
kaliber,   ***   ,caliber,,,,
kaliforn,   ***   ,californium,,,,
kaligrafia,   ***   ,calligraphy,,,,
kamieniołomy,   ***   ,quarry,,,,
kamień,   ***   ,stone,,,,
kamień naturalny,   ***   ,natural stone,,,,
kamuflaż,   ***   ,camouflage,,,,
kanał,   ***   ,canal,,,,
kanion,   ***   ,canyon,,,,
kannada,   ***   ,Kannada  Kannada,,,,
kapsel,   ***   ,bottle cap,,,,
kara,   ***   ,penalty,,,,
kara śmierci,   ***   ,death penalty  capital punishment  death sentence,,,,
karaluch,   ***   ,cockroach,,,,
karczoch,   ***   ,artichoke,,,,
kardiologia,   ***   ,cardiology,,,,
kardynał,   ***   ,cardinal,,,,
karelski,   ***   ,Karelian,,,,
kariera,   ***   ,career,,,,
kartografia,   ***   ,cartography,,,,
kartowanie,   ***   ,mapping,,,,
kat,   ***   ,executioner,,,,
kataliza,   ***   ,catalysis,,,,
katalizator,   ***   ,catalyst,,,,
kataloński,   ***   ,Catalan  Catalan,,,,
katapulta,   ***   ,catapult,,,,
katastrofa,   ***   ,catastrophe,,,,
katastrofa,   ***   ,disaster,,,,
kategoria,   ***   ,category,,,,
kation,   ***   ,cation,,,,
kawa,   ***   ,coffee,,,,
kawior,   ***   ,caviar,,,,
kazachski,   ***   ,Kazakh  Kazakh,,,,
kciuk,   ***   ,thumb,,,,
kelner,   ***   ,waiter,,,,
kemping,   ***   ,camping  camping ground,,,,
kerozyna,   ***   ,kerosene,,,,
khmer,   ***   ,Khmer  Central Khmer,,,,
kiełkowanie,   ***   ,germination,,,,
kijanka,   ***   ,tadpole  polliwog,,,,
kilogram,   ***   ,kilogram,,,,
kiur,   ***   ,curium,,,,
klacz,   ***   ,mare,,,,
klarnet,   ***   ,clarinet,,,,
klasyfikacja,   ***   ,classification,,,,
klasyfikacja,   ***   ,image classification,,,,
klawiatura,   ***   ,keyboard,,,,
klej,   ***   ,glue,,,,
kleptomania,   ***   ,kleptomania,,,,
klif,   ***   ,cliff,,,,
klimat,   ***   ,climate,,,,
klimat śródziemnomorski,   ***   ,Mediterranean climate,,,,
klimatologia,   ***   ,climatology,,,,
klimatyzacja,   ***   ,ventilation,,,,
klimatyzacja,   ***   ,air conditioning  AC  air,conditioning,,,
klonowanie,   ***   ,cloning,,,,
koagulacja,   ***   ,coagulation,,,,
kobalt,   ***   ,cobalt,,,,
kobieta,   ***   ,female  woman,,,,
kobza,   ***   ,bagpipes,,,,
kochać,   ***   ,love,,,,
kocioł,   ***   ,boiler,,,,
kodeks,   ***   ,code,,,,
kodyfikacja,   ***   ,codification,,,,
kofeina,   ***   ,caffeine,,,,
kokaina,   ***   ,cocaine,,,,
koks,   ***   ,coke,,,,
kolej,   ***   ,railway,,,,
koloidy,   ***   ,colloid,,,,
kolonia,   ***   ,colony,,,,
kolonizacja,   ***   ,colonisation,,,,
kolor,   ***   ,colour  colour  colo(u)r,,,,
kolorymetria,   ***   ,colourimetry,,,,
komar,   ***   ,musquito  mosquito,,,,
komercjalizacja,   ***   ,commercialisation,,,,
kometa,   ***   ,comet,,,,
komin,   ***   ,chimney,,,,
kompleksacja,   ***   ,complex formation,,,,
kompost,   ***   ,compost,,,,
kompostowanie,   ***   ,composting,,,,
komputer,   ***   ,computer,,,,
komunikacja,   ***   ,communications,,,,
komunizm,   ***   ,communism,,,,
komórka,   ***   ,cell  cell,,,,
koncesja,   ***   ,concession,,,,
kondensacja (proces),   ***   ,condensation (process)  condensation,,,,
konferencja,   ***   ,conference,,,,
konflikt,   ***   ,conflict,,,,
kongres,   ***   ,congress,,,,
koniowate,   ***   ,equine,,,,
konkurencja,   ***   ,competition,,,,
konkurencyjność,   ***   ,competitiveness,,,,
konkurencyjność międzynarodowa,   ***   ,international competitiveness,,,,
konserwa,   ***   ,preserve,,,,
konserwacja,   ***   ,maintenance (technical)  maintenance,,,,
konserwacja żywności,   ***   ,food preservation,,,,
konstytucja,   ***   ,constitution,,,,
konsultacja,   ***   ,consultation,,,,
konsultant,   ***   ,consultancy,,,,
konsumpcja,   ***   ,consumption,,,,
kontrola,   ***   ,ascendancy,,,,
kontynent,   ***   ,continent,,,,
konwencja,   ***   ,convention,,,,
koordynacja,   ***   ,co,ordination,,,
kopalnia,   ***   ,mine,,,,
kopytne,   ***   ,ungulate,,,,
korale,   ***   ,coral,,,,
koreański,   ***   ,Korean  Korean,,,,
korek,   ***   ,cork,,,,
korozja,   ***   ,corrosion,,,,
korozyjność,   ***   ,chemical corrosivity,,,,
korytarz,   ***   ,corridor,,,,
korzeń,   ***   ,root,,,,
kos,   ***   ,blackbird,,,,
kosmologia,   ***   ,cosmology,,,,
kosmonautyka,   ***   ,astronautics,,,,
kostka,   ***   ,dice  die  die  die,,,,
koszenie,   ***   ,mowing,,,,
koszt,   ***   ,zysk,cost,benefit,,
koszty,   ***   ,cost,,,,
koszty środowiskowe,   ***   ,environmental cost,,,,
koszykówka,   ***   ,basketball  basketball game,,,,
kot,   ***   ,cat,,,,
kotowate,   ***   ,felid,,,,
kotwica,   ***   ,anchor,,,,
kowadło,   ***   ,anvil,,,,
koń,   ***   ,horse,,,,
kość słoniowa,   ***   ,ivory,,,,
krajobraz,   ***   ,landscape,,,,
kras,   ***   ,karst,,,,
krawiec,   ***   ,tailor,,,,
kreda,   ***   ,chalk,,,,
kredyt,   ***   ,credit,,,,
krew,   ***   ,blood,,,,
krocze,   ***   ,perineum,,,,
krokodyl,   ***   ,crocodile,,,,
krowa,   ***   ,cow,,,,
krucyfiks,   ***   ,crucifix,,,,
krwotok,   ***   ,haemorrhage  bleeding,,,,
krypton,   ***   ,krypton,,,,
krystalizacja,   ***   ,crystallisation,,,,
krystalografia,   ***   ,crystallography,,,,
kryształ,   ***   ,crystal,,,,
kryteria środowiskowe,   ***   ,environmental criterion,,,,
krzem,   ***   ,silicon,,,,
krzemień,   ***   ,flint  flintstone,,,,
krzesło,   ***   ,chair,,,,
krzew,   ***   ,shrub,,,,
krzyżowanie,   ***   ,hybridisation,,,,
krzyżówka,   ***   ,crossword,,,,
królik,   ***   ,rabbit,,,,
kręgowce,   ***   ,vertebrate,,,,
ksenon,   ***   ,xenon,,,,
książka,   ***   ,book,,,,
księgowość,   ***   ,accountancy,,,,
księgowość,   ***   ,accounting,,,,
księgowość,   ***   ,bookkeeping,,,,
księgowość,   ***   ,accounting system,,,,
